id,area_m2,vertices,conf_final,action_code,t_manual_sec,t_assisted_sec,time_saved_sec,reduction_pct
291,200.4,30,0.594,ROSU_RESPINS_ARTEFACT,291.62,28.44,263.19,90.25
301,190.64,24,0.534,ROSU_RESPINS_ARTEFACT,315.83,34.34,281.49,89.13
302,190.46,35,0.569,ROSU_RESPINS_ARTEFACT,325.43,35.91,289.52,88.96
304,183.86,33,0.453,ROSU_RESPINS_ARTEFACT,378.76,31.1,347.66,91.79
306,187.34,50,0.589,ROSU_RESPINS_ARTEFACT,432.87,25.91,406.96,94.01
307,186.61,33,0.518,ROSU_RESPINS_ARTEFACT,357.1,35.38,321.72,90.09
310,184.0,68,0.397,ROSU_RESPINS_ARTEFACT,500.7,32.08,468.62,93.59
313,182.38,34,0.567,ROSU_RESPINS_ARTEFACT,383.02,32.26,350.76,91.58
319,181.23,28,0.648,ROSU_RESPINS_ARTEFACT,320.12,37.68,282.44,88.23
322,180.35,53,0.449,ROSU_RESPINS_ARTEFACT,453.89,42.42,411.47,90.65
323,180.11,30,0.538,ROSU_RESPINS_ARTEFACT,350.04,31.31,318.73,91.05
324,179.22,24,0.498,ROSU_RESPINS_ARTEFACT,328.85,38.16,290.69,88.4
326,178.79,39,0.573,ROSU_RESPINS_ARTEFACT,366.32,35.67,330.65,90.26
328,177.39,41,0.577,ROSU_RESPINS_ARTEFACT,366.95,25.13,341.82,93.15
330,175.49,23,0.512,ROSU_RESPINS_ARTEFACT,269.85,23.72,246.13,91.21
335,168.53,35,0.569,ROSU_RESPINS_ARTEFACT,348.17,28.97,319.2,91.68
336,167.71,55,0.512,ROSU_RESPINS_ARTEFACT,439.93,33.68,406.25,92.35
337,166.39,34,0.543,ROSU_RESPINS_ARTEFACT,376.29,43.06,333.23,88.56
338,166.25,45,0.541,ROSU_RESPINS_ARTEFACT,412.25,29.47,382.78,92.85
341,164.15,19,0.528,ROSU_RESPINS_ARTEFACT,263.92,26.63,237.29,89.91
345,162.0,40,0.298,ROSU_RESPINS_ARTEFACT,382.16,35.65,346.51,90.67
347,161.27,31,0.547,ROSU_RESPINS_ARTEFACT,341.24,23.16,318.08,93.21
348,160.14,31,0.561,ROSU_RESPINS_ARTEFACT,351.29,36.55,314.74,89.59
350,159.95,33,0.599,ROSU_RESPINS_ARTEFACT,352.8,24.08,328.72,93.17
351,159.83,42,0.515,ROSU_RESPINS_ARTEFACT,405.68,32.42,373.27,92.01
353,159.14,47,0.467,ROSU_RESPINS_ARTEFACT,412.34,33.16,379.18,91.96
357,157.54,34,0.475,ROSU_RESPINS_ARTEFACT,344.37,29.27,315.1,91.5
363,155.8,46,0.557,ROSU_RESPINS_ARTEFACT,392.68,22.41,370.27,94.29
366,152.82,6,0.543,ROSU_RESPINS_ARTEFACT,222.09,38.68,183.41,82.58
373,148.52,32,0.547,ROSU_RESPINS_ARTEFACT,344.34,30.01,314.33,91.29
376,147.0,54,0.438,ROSU_RESPINS_ARTEFACT,471.02,29.91,441.11,93.65
378,145.5,38,0.444,ROSU_RESPINS_ARTEFACT,360.83,31.05,329.78,91.4
381,143.7,19,0.686,GALBEN_INSPECTIE_GEODEZ,277.19,12.86,264.33,95.36
382,142.52,27,0.555,ROSU_RESPINS_ARTEFACT,309.32,35.34,273.98,88.57
387,138.45,20,0.673,GALBEN_INSPECTIE_GEODEZ,318.49,18.24,300.25,94.27
389,138.26,25,0.585,ROSU_RESPINS_ARTEFACT,268.7,32.78,235.92,87.8
390,138.26,39,0.503,ROSU_RESPINS_ARTEFACT,356.09,23.16,332.93,93.5
392,137.15,34,0.593,ROSU_RESPINS_ARTEFACT,331.11,25.45,305.66,92.31
394,135.38,23,0.484,ROSU_RESPINS_ARTEFACT,337.3,33.7,303.61,90.01
396,133.96,19,0.671,GALBEN_INSPECTIE_GEODEZ,301.93,18.64,283.29,93.83
397,133.34,25,0.488,ROSU_RESPINS_ARTEFACT,315.51,39.26,276.25,87.56
398,133.28,28,0.452,ROSU_RESPINS_ARTEFACT,348.17,33.3,314.87,90.43
403,129.18,44,0.526,ROSU_RESPINS_ARTEFACT,374.25,33.3,340.95,91.1
404,128.05,22,0.561,ROSU_RESPINS_ARTEFACT,300.44,32.99,267.44,89.02
407,125.87,24,0.624,ROSU_RESPINS_ARTEFACT,330.33,21.89,308.44,93.37
409,124.43,42,0.472,ROSU_RESPINS_ARTEFACT,395.53,24.79,370.74,93.73
411,112.82,23,0.545,ROSU_RESPINS_ARTEFACT,324.0,30.34,293.66,90.63
412,121.67,33,0.592,ROSU_RESPINS_ARTEFACT,358.95,28.02,330.93,92.19
414,120.51,23,0.532,ROSU_RESPINS_ARTEFACT,300.77,25.72,275.05,91.45
416,117.36,30,0.589,ROSU_RESPINS_ARTEFACT,348.93,35.35,313.58,89.87
417,115.74,32,0.533,ROSU_RESPINS_ARTEFACT,335.39,35.52,299.86,89.41
419,114.41,37,0.505,ROSU_RESPINS_ARTEFACT,393.97,27.97,366.0,92.9
422,111.22,21,0.639,ROSU_RESPINS_ARTEFACT,310.06,28.79,281.28,90.72
423,109.92,22,0.483,ROSU_RESPINS_ARTEFACT,252.05,30.02,222.03,88.09
424,109.62,39,0.467,ROSU_RESPINS_ARTEFACT,387.16,29.12,358.04,92.48
425,109.46,34,0.527,ROSU_RESPINS_ARTEFACT,347.22,31.03,316.19,91.06
426,85.02,30,0.476,ROSU_RESPINS_ARTEFACT,368.19,27.54,340.65,92.52
431,104.16,19,0.553,ROSU_RESPINS_ARTEFACT,269.74,37.3,232.44,86.17
432,102.87,40,0.537,ROSU_RESPINS_ARTEFACT,373.52,33.36,340.16,91.07
435,97.64,47,0.423,ROSU_RESPINS_ARTEFACT,448.4,27.13,421.27,93.95
436,95.65,27,0.532,ROSU_RESPINS_ARTEFACT,324.9,40.25,284.65,87.61
438,95.39,25,0.667,GALBEN_INSPECTIE_GEODEZ,280.96,15.1,265.86,94.63
439,95.16,22,0.699,GALBEN_INSPECTIE_GEODEZ,321.88,18.76,303.12,94.17
443,92.28,29,0.493,ROSU_RESPINS_ARTEFACT,367.73,33.6,334.13,90.86
444,92.24,24,0.524,ROSU_RESPINS_ARTEFACT,336.03,35.74,300.3,89.36
445,91.92,22,0.608,ROSU_RESPINS_ARTEFACT,332.0,37.11,294.89,88.82
447,90.28,29,0.502,ROSU_RESPINS_ARTEFACT,350.31,26.11,324.2,92.55
448,79.14,26,0.492,ROSU_RESPINS_ARTEFACT,329.14,31.15,297.99,90.54
449,87.33,31,0.535,ROSU_RESPINS_ARTEFACT,348.02,41.01,307.01,88.22
451,86.9,18,0.575,ROSU_RESPINS_ARTEFACT,287.09,29.72,257.37,89.65
452,68.09,14,0.594,ROSU_RESPINS_ARTEFACT,260.89,31.17,229.73,88.05
453,82.57,31,0.577,ROSU_RESPINS_ARTEFACT,346.97,36.17,310.8,89.58
457,78.39,25,0.435,ROSU_RESPINS_ARTEFACT,301.41,29.87,271.54,90.09
459,75.16,21,0.633,ROSU_RESPINS_ARTEFACT,256.11,32.39,223.72,87.35
460,70.79,13,0.737,GALBEN_INSPECTIE_GEODEZ,247.81,13.5,234.31,94.55
461,69.9,19,0.673,GALBEN_INSPECTIE_GEODEZ,272.17,20.73,251.43,92.38
464,64.52,23,0.57,ROSU_RESPINS_ARTEFACT,267.65,31.41,236.24,88.26
468,59.98,27,0.463,ROSU_RESPINS_ARTEFACT,314.67,29.78,284.89,90.53
471,53.9,22,0.434,ROSU_RESPINS_ARTEFACT,323.51,32.43,291.08,89.97
472,53.34,19,0.499,ROSU_RESPINS_ARTEFACT,304.32,29.75,274.57,90.23
478,43.83,19,0.465,ROSU_RESPINS_ARTEFACT,319.51,23.04,296.47,92.79
482,26.59,9,0.628,ROSU_RESPINS_ARTEFACT,233.38,27.96,205.42,88.02
